,Log_Post_Quantidade_Somado,Login_Quantidade,Assignment_View_Quantidade_Somado,Turno_TempoUsoTotal_Somado,Numero_Dias_Acessados_Modulo_Somado,Log_View_Quantidade_Somado,Evadido,CodigoTurma
160,1,0,2,1809,3,38,1,4114
161,8,17,12,12218,13,133,0,4114
162,1,0,0,4405,3,39,1,4114
163,42,9,7,21113,8,139,1,4114
164,8,11,5,10087,7,77,1,4114
165,61,16,14,27266,13,324,1,4114
166,3,5,7,18097,14,174,1,4114
167,39,22,9,27047,17,235,0,4114
168,3,4,7,6177,8,49,1,4114
169,30,13,4,30419,11,166,0,4114
170,0,0,0,1464,2,17,1,4114
171,7,2,8,5190,5,44,1,4114
172,2,3,5,10841,7,75,1,4114
173,6,21,9,15714,12,125,1,4114
174,52,3,3,16275,8,160,1,4114
175,2,4,2,4143,5,25,1,4114
176,8,8,5,17656,15,144,1,4114
177,0,5,3,8305,6,90,1,4114
178,4,6,4,7535,5,112,0,4114
179,3,8,6,6861,6,86,1,4114
180,2,2,4,3662,5,30,1,4114
181,2,22,11,10629,13,113,0,4917
182,0,4,2,4526,4,55,1,4917
183,3,8,3,16348,14,100,1,4917
184,2,4,2,3587,6,26,0,4917
185,7,17,14,27752,16,172,0,4917
186,0,8,1,3823,8,34,1,4917
187,0,0,0,433,2,10,1,4917
188,12,20,9,13163,14,91,0,4917
189,2,5,5,4107,10,41,1,4917
190,0,0,1,1394,3,5,1,4917
191,8,5,8,14815,14,111,0,4917
192,7,10,3,11188,7,83,1,4917
193,0,12,1,7305,3,51,1,4917
194,1,0,0,5526,3,53,1,4917
195,0,0,0,802,2,6,1,4917
196,2,10,3,19244,5,131,0,4917
197,80,9,13,24089,17,127,0,4917
198,1,20,3,14421,11,122,1,4917
199,1,6,0,9070,4,77,1,4917
200,2,3,2,9168,9,50,0,4917
201,3,2,2,6474,6,62,1,4917
202,2,2,2,2279,4,16,1,4917
203,18,3,2,17011,12,128,1,4917
204,3,8,7,12028,11,64,0,4917
205,3,11,8,14253,18,111,1,4917
206,66,33,11,34463,14,289,0,4917
207,1,5,1,9702,6,100,1,4917
208,0,7,7,9423,11,100,1,5061
209,3,14,17,22672,13,211,1,5061
210,3,16,8,6056,8,57,1,5061
211,0,0,0,96,1,2,1,5061
212,7,23,36,17325,6,174,1,5061
213,0,8,8,5031,5,45,1,5061
214,58,21,12,19957,9,128,1,5061
215,3,16,7,11646,12,57,0,5061
216,10,0,0,2590,3,25,1,5061
217,0,6,7,2841,5,34,1,5061
218,4,7,8,11233,6,145,0,5061
219,0,2,7,1506,3,19,1,5061
220,0,4,7,6647,8,58,1,5061
221,5,14,7,4204,4,65,0,5061
222,21,22,14,22637,15,189,1,5061
223,95,3,17,22321,11,112,1,5061
224,2,2,12,9086,8,86,1,5061
225,30,29,15,44950,15,255,1,5061
226,24,19,19,25049,5,206,1,5061
227,3,14,16,7716,8,64,0,5061
228,3,16,10,20579,14,126,1,5061
229,19,28,22,28461,8,206,1,5061
230,0,1,1,1956,5,19,1,5384
231,36,14,8,21834,12,158,0,5384
232,2,10,6,5697,3,36,1,5384
233,2,5,8,8225,8,50,1,5384
234,3,9,13,4318,5,33,0,5384
235,6,8,8,6377,4,52,1,5384
236,0,1,2,2737,8,42,1,5384
237,4,5,7,3110,7,26,1,5384
238,2,2,6,4401,7,34,1,5384
239,15,5,2,7553,6,31,1,5384
240,15,27,10,37505,18,310,0,5384
241,38,21,11,41297,14,328,0,5384
242,8,20,11,23185,12,184,0,5384
243,19,5,13,18120,8,187,1,5384
244,15,23,5,21214,13,258,0,5384
245,3,8,6,9890,11,68,1,5384
246,0,0,0,0,0,0,1,5384
247,0,4,1,2098,6,13,1,5384
248,0,2,2,4302,5,18,1,5384
249,29,12,9,23706,13,179,0,5384
250,10,7,11,11799,16,91,0,5384
251,23,22,12,31468,16,357,0,5384
252,29,7,9,10853,10,53,1,5384
253,0,7,4,11629,13,82,1,5384
254,14,23,18,35167,22,246,0,5384
255,43,13,15,36720,20,299,0,5384
256,54,31,16,40989,16,295,0,5384
257,3,7,12,13826,13,114,0,5384
258,4,12,12,9858,17,67,1,5384
259,13,36,17,44836,18,400,0,5384
260,6,12,8,16868,7,158,0,5384
261,3,4,5,8984,11,61,1,5384
262,1,5,3,10029,6,73,1,5384
263,0,4,6,7108,8,86,1,5384
264,2,11,9,7276,9,71,1,5384
265,2,23,8,17388,10,149,1,5384
266,19,5,6,9559,9,61,1,5384
267,2,6,6,4315,9,24,0,5384
268,0,0,0,0,0,0,1,5384
269,5,14,10,8591,10,78,0,5384
270,6,8,15,9189,8,75,1,5384
271,5,8,10,25379,7,159,0,5384
272,0,0,1,1941,4,18,1,5384
273,0,0,0,2148,2,32,1,5384
274,4,12,7,17077,19,129,0,5384
275,57,6,6,12949,9,107,1,5384
276,4,9,12,4976,3,75,1,5384
277,2,19,10,13837,13,122,1,5384
278,2,5,5,4643,5,45,1,5489
279,3,0,2,3114,5,45,0,5489
280,3,2,0,3071,7,34,1,5489
281,0,0,0,1099,1,9,1,5489
282,2,14,4,10137,9,86,0,5489
283,6,3,3,6121,8,28,1,5489
284,5,8,10,26572,14,182,0,5489
285,3,2,7,8451,9,61,1,5489
286,3,1,2,12012,7,94,0,5489
287,3,7,3,6596,13,53,0,5489
288,3,5,1,10343,6,65,1,5489
289,17,10,5,12336,9,128,1,5489
290,2,5,3,11316,6,60,0,5489
291,0,0,2,4298,4,56,1,5489
292,4,17,11,50049,16,367,0,5489
293,2,8,2,9935,9,60,1,5489
294,2,7,0,10985,12,46,1,5489
295,14,42,19,33840,15,322,1,5489
296,1,7,1,15532,15,88,1,5489
297,80,69,7,66699,23,534,0,5489
298,2,0,0,3929,4,32,1,5489
299,13,2,0,7544,7,40,1,5489
300,4,5,3,12168,8,74,0,5489
301,19,27,8,37210,18,272,0,5489
302,1,26,9,25416,13,207,1,5489
303,1,0,0,2720,4,18,1,5489
304,0,0,0,0,0,0,1,5489
305,9,4,1,13587,9,81,1,5489
306,0,3,3,7008,9,61,1,5489
307,4,8,6,8488,13,70,0,5489
308,0,0,0,3381,1,16,1,5489
309,0,1,1,2176,6,21,1,5489
310,2,6,1,7053,5,74,1,5489
311,6,21,7,34634,16,290,0,5489
312,0,3,1,2331,4,20,1,5489
313,0,0,0,2008,4,32,1,5489
314,0,0,0,0,0,0,1,5489
315,0,0,0,300,1,2,1,5489
316,6,6,3,8057,9,77,0,5489
317,2,7,4,8559,5,79,0,5489
318,0,0,0,1232,2,4,1,5489
319,0,0,0,0,0,0,1,5489
320,0,0,0,0,0,0,1,5489
321,8,45,6,45057,19,320,0,5490
322,0,0,0,0,0,0,1,5490
323,3,22,2,18408,17,426,1,5490
324,3,7,3,8402,6,72,1,5490
325,0,0,0,1230,3,6,1,5490
326,2,16,5,11737,9,95,1,5490
327,0,1,0,1189,3,9,1,5490
328,23,32,8,43672,19,321,0,5490
329,2,15,13,23332,10,144,0,5490
330,5,15,5,18077,8,131,0,5490
331,28,20,14,33409,15,310,0,5490
332,8,11,6,21155,12,149,0,5490
333,16,12,7,11358,7,68,0,5490
334,1,0,0,4380,3,17,1,5490
335,15,8,3,27976,15,179,0,5490
336,2,7,9,6157,10,50,0,5490
337,2,3,3,17882,8,88,0,5490
338,13,6,3,27507,10,134,1,5490
339,0,0,0,1770,3,15,1,5490
340,4,17,5,25541,18,171,1,5490
341,0,3,2,1654,3,27,1,5490
342,3,8,3,15226,13,138,1,5490
343,0,1,1,3024,4,22,1,5490
344,1,0,0,3167,5,36,1,5490
345,2,4,6,7453,6,37,1,5490
346,34,13,9,34937,13,229,0,5490
347,6,19,3,18465,10,129,0,5490
348,12,19,4,36155,17,237,0,5490
349,0,0,0,370,2,4,1,5490
350,28,15,5,20593,7,100,0,5490
351,2,4,4,8045,8,53,0,5490
352,42,16,6,31620,21,225,1,5490
353,2,20,2,16591,11,116,1,5490
354,2,14,4,16555,12,145,1,5490
