,Questionario_Quantidade_Somado,Forum_TempoUso_Somado,Log_Post_Quantidade_Somado,Questionario_TempoUso_Somado,Login_Quantidade,Turno_TempoUsoTotal_Somado,Evadido,CodigoTurma
354,3,5234,44,4631,15,76290,0,5102
355,1,0,39,5987,4,35693,1,5102
356,3,2797,51,7481,31,60432,0,5102
357,2,0,19,1348,8,28033,0,5102
358,3,621,39,2650,11,31944,0,5102
359,3,4536,45,7230,28,57667,0,5102
360,3,5275,40,5658,10,41887,0,5102
361,0,0,4,0,0,10597,1,5102
362,3,1774,55,5122,10,53557,0,5102
363,3,2514,65,6958,22,55370,0,5102
364,3,2261,70,4061,24,54430,0,5102
365,3,2029,50,3678,9,36743,0,5102
366,3,2121,74,9491,17,47516,0,5102
367,2,1482,23,3454,17,37953,0,5102
368,3,1636,32,4800,13,29570,0,5102
369,2,0,16,4566,1,15379,0,5102
370,3,3442,51,3615,34,60915,0,5102
371,3,4110,41,4944,18,48529,0,5102
372,2,1999,66,7018,22,55516,0,5102
373,3,7010,50,4826,31,70031,0,5102
374,3,675,41,6496,19,44144,0,5102
375,2,1916,27,3670,13,49854,0,5102
376,3,763,80,6542,3,42198,0,5102
377,3,3281,59,5790,9,51688,0,5102
378,2,880,68,3442,4,32511,1,5102
379,2,0,79,6251,8,26214,0,5102
380,1,2488,16,1270,33,48228,0,5102
381,0,54,5,486,10,16197,1,5102
382,3,1416,29,1823,11,28966,0,5102
383,3,1205,55,3123,5,32637,0,5102
384,1,89,34,2842,5,49139,1,5102
385,3,1383,52,8966,9,45266,1,5102
386,3,2236,40,4635,6,21839,0,5102
387,3,5185,42,3610,19,47666,0,5102
388,3,4393,45,5156,20,62518,0,5102
389,1,0,22,1177,0,23188,0,5102
390,0,0,4,0,0,4145,1,5102
391,3,689,104,2575,15,22861,0,5102
392,2,7,17,2227,3,16919,1,5102
393,3,2301,52,8843,19,49958,0,5102
394,1,0,10,688,0,9350,1,5102
395,1,0,17,1483,7,26805,0,5102
396,3,3564,40,3182,24,37290,0,5102
397,2,1544,28,3311,6,24644,0,5102
398,3,1518,51,7680,9,48384,0,5102
399,0,0,4,0,0,7344,1,5102
400,3,795,56,5172,22,41748,0,5102
401,3,2745,60,3763,11,39837,0,5102
402,0,0,15,0,0,14750,1,5102
403,0,0,6,300,1,14851,1,5102
404,1,0,34,4039,12,50353,1,5102
405,3,3151,51,3630,22,33511,0,5102
406,1,0,54,2660,0,17629,1,5102
407,3,3925,69,7930,31,100860,0,5102
408,3,579,19,3799,4,21424,0,5102
409,3,703,51,8431,18,36193,0,5102
410,2,1256,82,6820,19,26156,0,5102
411,3,4492,74,11757,16,88761,0,5102
412,2,7101,37,5063,56,51115,0,5102
413,0,0,1,0,0,3391,1,5102
414,0,0,1,0,0,6138,1,5102
415,3,1508,87,2551,9,30872,0,5102
416,3,1949,28,5927,6,42500,0,5102
417,1,0,42,1973,2,18117,0,5102
418,3,542,28,3087,4,15996,1,5786
419,1,4814,24,1156,23,26374,1,5786
420,1,0,15,855,0,11497,1,5786
421,0,0,1,0,0,4272,1,5786
422,3,3884,52,1078,25,35947,0,5786
423,0,0,2,645,0,10231,1,5786
424,3,16660,232,6605,106,219369,0,5786
425,3,4505,88,4719,32,46381,0,5786
